type,name,gu,lat,lng,address,tel,typedetail,indoor,businesshours,conditions,cate_mix,Adress,dong
음식점,100코달리,중구,37.56330525,127.0164174,서울특별시 중구 다산로38길 11,010-2235-6774,퓨전,실내, ,목줄,음식점퓨전중구실내목줄다산로38길다산로38길,대한민국 서울특별시 중구 다산로38길 11,다산로38길
음식점,누룽지백숙,중구,37.55725859,127.011752,서울특별시 중구 다산로 151,02-2232-4388,한식,실내, ,목줄,음식점한식중구실내목줄신당2동신당2동,대한민국 서울특별시 중구 신당2동 370-55,신당2동
음식점,크레이지 크레이지,중구,37.56656799,127.0153301,서울특별시 중구 다산로47길 11,02-2233-3440,퓨전,실내, ,목줄,음식점퓨전중구실내목줄다산로47길다산로47길,대한민국 서울특별시 중구 다산로47길 11,다산로47길
음식점,콘크리트포이트리,중구,37.5671864,126.9969811,서울특별시 중구 창경궁로5길 18,010-4564-1722,퓨전,실내, ,"목줄,입마개",음식점퓨전중구실내목줄 입마개창경궁로5길창경궁로5길,대한민국 서울특별시 중구 창경궁로5길 18 4층,창경궁로5길
음식점,드므,중구,37.56547478,126.9914835,서울특별시 중구 충무로5길 24,010-7931-2229,퓨전,실외, ,목줄,음식점퓨전중구실외목줄을지로3가을지로3가,대한민국 서울특별시 중구 을지로3가 320-24,을지로3가
음식점,플레김밥&카페,중구,37.56452506,127.0083092,서울특별시 중구 퇴계로 331,02-2266-9230,분식,실내, ,목줄,음식점분식중구실내목줄퇴계로퇴계로,대한민국 서울특별시 중구 퇴계로 331-1,퇴계로
음식점,사슴,중구,37.56239761,127.0054426,서울특별시 중구 장충단로7길 17,02-2285-1571,퓨전,실내, ,목줄,음식점퓨전중구실내목줄장충단로7길장충단로7길,대한민국 서울특별시 중구 장충단로7길 17,장충단로7길
음식점,싱싱오징어바다 충무로점,중구,37.56134257,126.9985981,서울특별시 중구 서애로1길 11,02-2274-9283,퓨전,테라스, ,목줄,음식점퓨전중구테라스목줄묵정동묵정동,대한민국 서울특별시 중구 묵정동 11-67,묵정동
음식점,을지로 차이,중구,37.56517991,126.9905697,서울특별시 중구 을지로12길 28,070-4154-4374,퓨전,실내, ,"목줄,입마개",음식점퓨전중구실내목줄 입마개저동2가저동2가,대한민국 서울특별시 중구 저동2가 7-2,저동2가
음식점,프렌즈,중구,37.56901355,126.9759465,서울특별시 중구 세종대로21길 55,02-730-6477,퓨전,실내, ,목줄,음식점퓨전중구실내목줄세종대로21길세종대로21길,대한민국 서울특별시 중구 세종대로21길 55,세종대로21길
음식점,식당진,중구,37.56063534,126.9865157,서울특별시 중구 퇴계로22길 5,02-755-7558,일식,실내, ,목줄,음식점일식중구실내목줄명동명동,대한민국 서울특별시 중구 명동 13-17,명동
음식점,한상훈셰프,중구,37.55795971,126.9828112,서울특별시 중구 소공로 29,010-7274-9443,양식,실내, ,목줄,음식점양식중구실내목줄회현동2가회현동2가,대한민국 서울특별시 중구 회현동2가 27-8,회현동2가
음식점,다운타우너 안국,종로구,37.57746763,126.9863721,서울특별시 종로구 북촌로 6-4,070-8870-3696,햄버거,실내, ,캐리어,음식점햄버거종로구실내캐리어재동재동,대한민국 서울특별시 종로구 재동 146-1,재동
음식점,기러기둥지,종로구,37.5727949,126.9900372,서울특별시 종로구 돈화문로11길 28-4,02-3673-0070,퓨전,실내, ,목줄,음식점퓨전종로구실내목줄종로1.2.3.4가동종로1.2.3.4가동,대한민국 서울특별시 종로구 종로1.2.3.4가동 31,종로1.2.3.4가동
음식점,보울박스 한남본점,용산구,37.53383832,127.0081475,서울특별시 용산구 독서당로 67,02-749-2927,퓨전,실내, ,캐리어,음식점퓨전용산구실내캐리어한남동한남동,대한민국 서울특별시 용산구 한남동 261-6,한남동
음식점,리틀넥 한남,용산구,37.53959965,127.0030003,서울특별시 용산구 한남대로27길 66,070-8869-9499,양식,테라스, ,목줄,음식점양식용산구테라스목줄한남동한남동,대한민국 서울특별시 용산구 한남동 727-21,한남동
음식점,조개일번지,도봉구,37.64446047,127.0335802,서울특별시 도봉구 도봉로106길 22,02-902-2545,한식,실외, ,목줄,음식점한식도봉구실외목줄창2동창2동,대한민국 서울특별시 도봉구 창2동 647-11,창2동
음식점,베트남돼지,용산구,37.53341524,126.9923523,서울특별시 용산구 이태원로20길 21,02-749-9186,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄이태원로20가길이태원로20가길,대한민국 서울특별시 용산구 이태원로20가길 4,이태원로20가길
음식점,Billionbox,용산구,37.539218,126.98945,서울특별시 용산구 회나무로 24-1,070-8154-1564,햄버거,실내, ,목줄,음식점햄버거용산구실내목줄이태원2동이태원2동,대한민국 서울특별시 용산구 이태원2동 225-67,이태원2동
음식점,여인숙,용산구,37.53688523,126.9877194,서울특별시 용산구 녹사평대로42길 19,010-4194-4588,퓨전,실내, ,"목줄,매너벨트",음식점퓨전용산구실내목줄 매너벨트녹사평대로42길녹사평대로42길,대한민국 서울특별시 용산구 녹사평대로42길 19,녹사평대로42길
음식점,사실주의베이컨,용산구,37.53305329,126.9954158,서울특별시 용산구 우사단로 31-1,02-797-1775,퓨전,실외, ,목줄,음식점퓨전용산구실외목줄우사단로우사단로,대한민국 서울특별시 용산구 우사단로 31-1,우사단로
음식점,코펜바인,용산구,37.51784399,126.9803234,서울특별시 용산구 이촌로 300,02-792-8319,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄이촌1동이촌1동,대한민국 서울특별시 용산구 이촌1동 301-163,이촌1동
음식점,이촌바,용산구,37.51784847,126.9776475,서울특별시 용산구 이촌로88길 16,02-749-2007,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄이촌동이촌동,대한민국 서울특별시 용산구 이촌동 300-58,이촌동
음식점,오썸델리,용산구,37.52881739,126.9666538,서울특별시 용산구 한강대로 95,070-8118-0009,한식,실내, ,목줄,음식점한식용산구실내목줄한강로2가한강로2가,대한민국 서울특별시 용산구 한강로2가 342,한강로2가
음식점,도로시락,용산구,37.52881739,126.9666538,서울특별시 용산구 한강대로 95,02-6368-6365,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄한강로2가한강로2가,대한민국 서울특별시 용산구 한강로2가 342,한강로2가
음식점,산골녹차냉면,용산구,37.54128506,126.9618529,서울특별시 용산구 효창원로 147,02-716-1988,한식,실내, ,목줄,음식점한식용산구실내목줄효창동효창동,대한민국 서울특별시 용산구 효창동 5-539,효창동
음식점,로리스피자,용산구,37.52881739,126.9666538,서울특별시 용산구 한강대로 95,02-792-0770,피자,실내, ,목줄,음식점피자용산구실내목줄한강로2가한강로2가,대한민국 서울특별시 용산구 한강로2가 342,한강로2가
음식점,유키사키,용산구,37.55124768,126.9741684,서울특별시 용산구 후암로57길 51-3,010-6203-4748,일식,실내, ,목줄,음식점일식용산구실내목줄동자동동자동,대한민국 서울특별시 용산구 동자동 35-173,동자동
음식점,줄라이 카레,용산구,37.54248374,126.9737086,서울특별시 용산구 한강대로76길 11-42,02-6338-1456,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄남영동남영동,대한민국 서울특별시 용산구 남영동 한강대로76길 11-44,남영동
음식점,진대포,용산구,37.5417114,126.9721309,서울특별시 용산구 한강대로77길 11,02-717-0398,한식,실내, ,목줄,음식점한식용산구실내목줄갈월동갈월동,대한민국 서울특별시 용산구 갈월동 101-50,갈월동
음식점,DONO,용산구,37.53571051,127.0012341,서울특별시 용산구 이태원로54길 63,02-3785-0501,피자,실내, ,목줄,음식점피자용산구실내목줄한남동한남동,대한민국 서울특별시 용산구 한남동 684-66,한남동
음식점,쏭타이치앙마이,용산구,37.53036651,126.9716056,서울특별시 용산구 한강대로40길 39-5,02-749-5170,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄한강로동한강로동,대한민국 서울특별시 용산구 한강로동 73-11,한강로동
음식점,버뮤다삼각지,용산구,37.53203893,126.9722649,서울특별시 용산구 한강대로52길 19,02-749-6789,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄한강로동한강로동,대한민국 서울특별시 용산구 한강로동 24-3,한강로동
음식점,카페 시바,용산구,37.54295855,126.972822,서울특별시 용산구 한강대로 276-1,070-7543-1339,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄남영동남영동,대한민국 서울특별시 용산구 남영동 72-1,남영동
음식점,바리,용산구,37.53983524,126.9911674,서울특별시 용산구 회나무로 41,02-797-7090,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄회나무로회나무로,대한민국 서울특별시 용산구 회나무로 41,회나무로
음식점,Nm,용산구,37.53385694,126.9754025,서울특별시 용산구 한강대로62나길 20-32,02-6407-4949,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄한강로동한강로동,대한민국 서울특별시 용산구 한강로동 1-36,한강로동
음식점,맥파이 이태원점,용산구,37.53944936,126.9874671,서울특별시 용산구 녹사평대로 244-1,02-749-2703,피자,실내, ,목줄,음식점피자용산구실내목줄이태원동이태원동,대한민국 서울특별시 용산구 이태원동 713,이태원동
음식점,로코스 비비큐 경리단길본점,용산구,37.54098714,126.9955404,서울특별시 용산구 회나무로 83,02-794-3234,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄이태원동이태원동,대한민국 서울특별시 용산구 이태원동 3-5,이태원동
음식점,소셜해이븐,용산구,37.54210224,126.9872352,서울특별시 용산구 신흥로 39,010-7507-8229,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄용산동2가용산동2가,대한민국 서울특별시 용산구 용산동2가 38-20,용산동2가
음식점,포티파이드,용산구,37.5393496,126.9864459,서울특별시 용산구 신흥로 9,010-5925-4665,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄용산2가동용산2가동,대한민국 서울특별시 용산구 용산2가동 5-1608,용산2가동
음식점,하늘이네,용산구,37.54551323,126.9848345,서울특별시 용산구 신흥로 96,02-318-9933,한식,테라스, ,목줄,음식점한식용산구테라스목줄신흥로신흥로,대한민국 서울특별시 용산구 신흥로 96,신흥로
음식점,GIL BAR DAK,용산구,37.54504556,126.9850813,서울특별시 용산구 소월로20길 26-18,011-9360-1113,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄소월로20길소월로20길,대한민국 서울특별시 용산구 소월로20길 26-16,소월로20길
음식점,서울앤쏘울,용산구,37.54522798,126.9848824,서울특별시 용산구 신흥로 97-5,010-7705-3644,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄용산2가동용산2가동,대한민국 서울특별시 용산구 용산2가동 1-506,용산2가동
음식점,해방촌 신코,용산구,37.54508589,126.9848493,서울특별시 용산구 신흥로 99-1,010-3439-3544,일식,실내, ,목줄,음식점일식용산구실내목줄신흥로신흥로,대한민국 서울특별시 용산구 신흥로 99,신흥로
음식점,성광대도,용산구,37.54389242,126.987099,서울특별시 용산구 신흥로 63,070-7720-1396,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄용산동2가용산동2가,대한민국 서울특별시 용산구 용산동2가 22-9,용산동2가
음식점,팟카파우,용산구,37.54519401,126.9848677,서울특별시 용산구 신흥로 97-6,070-8880-2521,퓨전,실내, ,안기,음식점퓨전용산구실내안기용산동2가용산동2가,대한민국 서울특별시 용산구 용산동2가 1-507,용산동2가
음식점,베제투스,용산구,37.5437081,126.9872656,서울특별시 용산구 신흥로 59,070-8824-5959,퓨전,테라스, ,목줄,음식점퓨전용산구테라스목줄용산동2가용산동2가,대한민국 서울특별시 용산구 용산동2가 22-12,용산동2가
음식점,후암동싸이드,용산구,37.5462301,126.9796647,서울특별시 용산구 두텁바위로 67-1,070-4139-9291,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄두텁바위로두텁바위로,대한민국 서울특별시 용산구 두텁바위로 67-1,두텁바위로
음식점,흐이,용산구,37.54628802,126.9800941,서울특별시 용산구 두텁바위로 71,02-319-3201,퓨전,실내, ,캐리어,음식점퓨전용산구실내캐리어후암동후암동,대한민국 서울특별시 용산구 후암동 254-83,후암동
음식점,후암종점,용산구,37.5468794,126.9809935,서울특별시 용산구 두텁바위로 83,010-8689-8857,퓨전,실내, ,목줄,음식점퓨전용산구실내목줄두텁바위로두텁바위로,대한민국 서울특별시 용산구 두텁바위로 85,두텁바위로
음식점,쭈꾸미도사 성수점,성동구,37.54418738,127.0561575,서울특별시 성동구 아차산로 110,02-414-4991,한식,실외, ,목줄,음식점한식성동구실외목줄성수일로6길성수일로6길,대한민국 서울특별시 성동구 성수일로6길 53 유원지식산업센터 5층,성수일로6길
음식점,냐항,성동구,37.54395221,127.0510129,서울특별시 성동구 연무장길 9-6,02-497-5279,퓨전,실내, ,목줄,음식점퓨전성동구실내목줄성수동2가성수동2가,대한민국 서울특별시 성동구 성수동2가 301-87,성수동2가
음식점,피자시즌,성동구,37.54140761,127.0569083,서울특별시 성동구 성수이로14길 14,02-466-6904,피자,실내, ,목줄,음식점피자성동구실내목줄성수동2가성수동2가,대한민국 서울특별시 성동구 성수동2가 322-4,성수동2가
음식점,굿갓레스토랑 성수역점,성동구,37.54333521,127.0542333,서울특별시 성동구 연무장길 41-22,010-3748-2497,양식,루프탑, ,목줄,음식점양식성동구루프탑목줄성수동2가성수동2가,대한민국 서울특별시 성동구 성수동2가 316-23,성수동2가
음식점,봉쥬르,성동구,37.54596518,127.0496387,서울특별시 성동구 상원2길 7,02-6082-7238,퓨전,실내, ,목줄,음식점퓨전성동구실내목줄성수1가2동성수1가2동,대한민국 서울특별시 성동구 성수1가2동 14-59,성수1가2동
음식점,정동진,성동구,37.54269739,127.0161744,서울특별시 성동구 한림말1길 15-2,010-3442-2079,한식,실외, ,목줄,음식점한식성동구실외목줄옥수동옥수동,대한민국 서울특별시 성동구 옥수동 298,옥수동
음식점,다락방,성동구,37.54820716,127.0192561,서울특별시 성동구 장터길 30-1,010-3342-8169,퓨전,실내, ,목줄,음식점퓨전성동구실내목줄금호4가동금호4가동,대한민국 서울특별시 성동구 금호4가동 1201,금호4가동
음식점,브레라,중구,37.54837648,127.0069432,서울특별시 중구 동호로17길 295,02-2236-0770,양식,실내, ,목줄,음식점양식중구실내목줄신당동신당동,대한민국 서울특별시 중구 신당동 366-340,신당동
음식점,조옥당 약수본점,중구,37.55700707,127.0113435,서울특별시 중구 동호로12길 39,02-2232-8282,한식,테라스, ,목줄,음식점한식중구테라스목줄신당동신당동,대한민국 서울특별시 중구 신당동 377-143,신당동
음식점,버거점프,성동구,37.54567733,127.0429147,서울특별시 성동구 서울숲2길 32-14,02-464-5336,햄버거,실외, ,목줄,음식점햄버거성동구실외목줄성수1가1동성수1가1동,대한민국 서울특별시 성동구 성수1가1동 685-696,성수1가1동
음식점,메시,성동구,37.54601556,127.049376,서울특별시 성동구 상원2길 3,02-461-1121,일식,실내, ,목줄,음식점일식성동구실내목줄성수동1가성수동1가,대한민국 서울특별시 성동구 성수동1가 상원2길 3,성수동1가
음식점,타이인플레이트,성동구,37.56061541,127.0471949,서울특별시 성동구 사근동8길 3,02-2298-0984,퓨전,실외, ,목줄,음식점퓨전성동구실외목줄사근동사근동,대한민국 서울특별시 성동구 사근동 178,사근동
음식점,한우리,성동구,37.57125885,127.0412652,서울특별시 성동구 살곶이길 40,02-2296-0908,한식,실내, ,목줄,음식점한식성동구실내목줄마장동마장동,대한민국 서울특별시 성동구 마장동 294,마장동
음식점,73명품도야지,성동구,37.56782502,127.0250536,서울특별시 성동구 마장로 137,02-2282-1973,한식,실내, ,목줄,음식점한식성동구실내목줄왕십리도선동왕십리도선동,대한민국 서울특별시 성동구 왕십리도선동 142,왕십리도선동
음식점,금남방,성동구,37.54786634,127.0207447,서울특별시 성동구 독서당로 285,-,퓨전,실내, ,목줄,음식점퓨전성동구실내목줄금호4가동금호4가동,대한민국 서울특별시 성동구 금호4가동 1095,금호4가동
음식점,삼맛호오떡 왕십리본점,성동구,37.55975487,127.0331662,서울특별시 성동구 무학봉16길 26,02-2299-3396,퓨전,실내, ,목줄,음식점퓨전성동구실내목줄행당1동행당1동,대한민국 서울특별시 성동구 행당1동 298-117,행당1동
음식점,재즈라운지,광진구,37.54672558,127.0731214,서울특별시 광진구 능동로19길 7-6,010-7940-2555,퓨전,실내, ,목줄,음식점퓨전광진구실내목줄화양동화양동,대한민국 서울특별시 광진구 화양동 111-25,화양동
음식점,시홍쓰,광진구,37.54605503,127.073019,서울특별시 광진구 능동로17길 5,010-8680-4330,퓨전,실내, ,목줄,음식점퓨전광진구실내목줄화양동화양동,대한민국 서울특별시 광진구 화양동 94-1,화양동
음식점,반둥식당,광진구,37.54105663,127.0656692,서울특별시 광진구 아차산로 200,02-2122-1288,퓨전,실내, ,목줄,음식점퓨전광진구실내목줄자양동자양동,대한민국 서울특별시 광진구 자양동 17-14,자양동
음식점,도우피는남자,광진구,37.54734574,127.1046034,서울특별시 광진구 광장로 66-1,02-932-6924,피자,실내, ,목줄,음식점피자광진구실내목줄광장동광장동,대한민국 서울특별시 광진구 광장동 287-5,광장동
음식점,건대사시미,광진구,37.54138594,127.0702326,서울특별시 광진구 아차산로33길 23,02-465-3222,일식,실내, ,캐리어,음식점일식광진구실내캐리어아차산로33길아차산로33길,대한민국 서울특별시 광진구 아차산로33길 23,아차산로33길
음식점,미주류,광진구,37.55695681,127.0761896,서울특별시 광진구 면목로 31,070-8285-4864,퓨전,실내, ,목줄,음식점퓨전광진구실내목줄군자동군자동,대한민국 서울특별시 광진구 군자동 469-12,군자동
음식점,알고,광진구,37.54811679,127.0728613,서울특별시 광진구 광나루로17길 10,02-3409-2645,양식,실내, ,목줄,음식점양식광진구실내목줄군자동군자동,대한민국 서울특별시 광진구 군자동 373-8,군자동
음식점,식당 사사로운,광진구,37.55423535,127.0803923,서울특별시 광진구 천호대로112길 48-4,010-6216-1062,양식,실내, ,목줄,음식점양식광진구실내목줄능동능동,대한민국 서울특별시 광진구 능동 208-1,능동
음식점,몽우,광진구,37.55954241,127.0768667,서울특별시 광진구 면목로7길 13,010-6559-5682,퓨전,실내, ,목줄,음식점퓨전광진구실내목줄중곡동중곡동,대한민국 서울특별시 광진구 중곡동 631-11,중곡동
음식점,깡통집,동대문구,37.58430954,127.0683143,서울특별시 동대문구 한천로 264,02-2243-4842,한식,실내, ,목줄,음식점한식동대문구실내목줄휘경동휘경동,대한민국 서울특별시 동대문구 휘경동 57-1,휘경동
음식점,총각회수산,동대문구,37.58060509,127.0433823,서울특별시 동대문구 홍릉로1길 27,02-960-2323,퓨전,실내, ,목줄,음식점퓨전동대문구실내목줄청량리동청량리동,대한민국 서울특별시 동대문구 청량리동 777,청량리동
음식점,청량회관,동대문구,37.58473887,127.0486618,서울특별시 동대문구 제기로36길 31,010-8556-1221,퓨전,실내, ,목줄,음식점퓨전동대문구실내목줄청량리동청량리동,대한민국 서울특별시 동대문구 청량리동 42-14,청량리동
음식점,장안쭈꾸미,동대문구,37.56276634,127.066993,서울특별시 동대문구 천호대로85길 26-6,02-3394-4955,한식,실내, ,목줄,음식점한식동대문구실내목줄장안동장안동,대한민국 서울특별시 동대문구 장안동 463-7,장안동
